,state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,metric_used,method_name,year,units_of_measure,event_type,observation_count,observation_percent,completeness_indicator,valid_day_count,required_day_count,exceptional_data_count,null_data_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,num_obs_below_mdl,arithmetic_mean,arithmetic_standard_dev,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_non_overlapping_value,first_no_max_datetime,second_max_non_overlapping_value,second_no_max_datetime,ninety_nine_percentile,ninety_eight_percentile,ninety_five_percentile,ninety_percentile,seventy_five_percentile,fifty_percentile,ten_percentile,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
87632,30,29,46,42101,1,48.204404,-114.306797,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1998,Parts per million,No Events,8539,97,Y,354,365,0,0,0.0,0.0,Certification not required,0,0.597459,0.368586,2.8,11-04-1998 17:00,2.7,11-04-1998 14:00,2.7,11-04-1998 15:00,2.7,11-04-1998 16:00,2.8,11-04-1998 17:00,2.4,26-01-1998 20:00,1.9,1.6,1.3,1.1,0.8,0.5,0.2,LASER SCHL SW CORNER OF INTERSECTION OF E WASHINGTON & 6TH AVE EN,LASER SCH-CRNR E WASHINGTON/6TH AVE EN,Montana,Flathead,Kalispell,Kalispell MT,15-04-2016
90140,10,3,1008,42101,1,39.57768,-75.6036,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1995,Parts per million,No Events,7564,86,Y,308,365,0,0,0.0,0.0,Certified,0,0.637837,0.232535,1.5,19-02-1995 08:00,1.5,19-02-1995 09:00,1.5,19-02-1995 10:00,1.5,24-02-1995 03:00,1.5,19-02-1995 08:00,1.5,24-02-1995 03:00,1.3,1.2,1.1,1.0,0.8,0.6,0.4,Route 9 Delaware City,ROUTE 9 DELAWARE CITY,Delaware,New Castle,Delaware City,Philadelphia-Camden-Wilmington PA-NJ-DE-MD,26-04-2016
96530,4,19,2,42101,1,32.222058,-110.974681,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1989,Parts per million,No Events,8616,98,Y,356,365,0,0,0.0,0.0,Certification not required,0,1.579352,0.86886,6.5,18-12-1989 21:00,6.5,18-12-1989 22:00,6.3,18-12-1989 23:00,6.1,18-12-1989 20:00,6.5,18-12-1989 21:00,5.8,17-11-1989 23:00,4.2,3.8,3.3,2.8,2.0,1.4,0.7,DOWNTOWN,190 W PENNINGTON TUCSON,Arizona,Pima,Tucson,Tucson AZ,22-04-2016
99848,32,31,2009,42101,1,39.645264,-119.840025,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1996,Parts per million,No Events,8289,94,Y,337,366,0,0,0.0,0.0,Certified,0,0.687622,0.426602,3.4,25-12-1996 01:00,3.3,20-12-1996 02:00,3.3,25-12-1996 02:00,3.2,20-12-1996 01:00,3.4,25-12-1996 01:00,3.3,20-12-1996 02:00,2.2,2.0,1.6,1.2,0.9,0.6,0.3,Lemmon Valley,325 PATRICIAN DR LEMMON VALLEY NV 89506,Nevada,Washoe,Lemmon Valley-Golden Valley,Reno NV,26-04-2016
102322,32,3,538,42101,1,36.142957,-115.056305,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1998,Parts per million,No Events,8464,97,Y,351,365,0,0,0.0,0.0,Certification not required,0,0.63587,0.786785,6.3,22-11-1998 07:00,6.1,22-11-1998 06:00,5.9,22-11-1998 08:00,5.7,22-11-1998 05:00,6.3,22-11-1998 07:00,5.1,17-11-1998 03:00,3.4,2.8,2.2,1.7,1.0,0.3,0.0,Winterwood,5483 CLUBHOUSE DR-WINTERWOOD LAS VEGAS,Nevada,Clark,Sunrise Manor,Las Vegas-Henderson-Paradise NV,15-04-2016
103892,40,143,191,42101,1,36.141697,-95.983793,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2010,Parts per million,No Events,8725,100,Y,363,365,0,0,0.0,0.0,Certified,0,0.332401,0.179372,2.2,03-12-2010 00:00,2.2,03-12-2010 01:00,2.2,03-12-2010 02:00,2.1,02-12-2010 23:00,2.2,03-12-2010 00:00,1.8,03-12-2010 05:00,0.8,0.7,0.6,0.5,0.4,0.3,0.1,CINCINNATI,1413 S. CINCINNATI TULSA OK 74119,Oklahoma,Tulsa,Tulsa,Tulsa OK,10-04-2016
110574,48,309,1037,42101,1,31.653074,-97.070698,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2007,Parts per million,No Events,6078,69,Y,252,365,0,0,0.0,0.0,Certification not required,0,0.221241,0.106856,0.6,05-05-2007 02:00,0.5,03-05-2007 19:00,0.5,03-05-2007 20:00,0.5,03-05-2007 21:00,0.6,05-05-2007 02:00,0.5,03-05-2007 19:00,0.5,0.4,0.4,0.3,0.3,0.2,0.1,Waco Mazanec,4472 Mazanec Rd,Texas,McLennan,Waco,Waco TX,12-04-2016
120701,8,41,6,42101,1,38.85054,-104.83063,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1990,Parts per million,No Events,5699,65,Y,234,365,0,0,0.0,0.0,Certified,0,1.327479,1.061322,7.2,29-11-1990 22:00,7.2,29-11-1990 23:00,6.9,29-11-1990 21:00,6.9,05-12-1990 10:00,7.2,29-11-1990 22:00,6.9,05-12-1990 10:00,4.8,4.2,3.5,2.8,1.8,1.0,0.3,I-25 & UINTAH,1098 GLENN ST. - I-25& UINTAH AVE.,Colorado,El Paso,Colorado Springs,Colorado Springs CO,30-04-2016
129067,6,37,5001,42101,1,33.92288,-118.37026,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1999,Parts per million,No Events,8744,100,Y,364,365,0,0,0.0,0.0,Certified,0,1.095837,1.323833,8.4,21-12-1999 06:00,8.4,21-12-1999 07:00,8.3,21-12-1999 08:00,8.2,21-12-1999 05:00,8.4,21-12-1999 06:00,7.9,06-01-1999 10:00,5.9,5.4,4.2,3.0,1.3,0.5,0.2,Hawthorne,5234 W. 120TH ST. HAWTHORNE,California,Los Angeles,Hawthorne,Los Angeles-Long Beach-Anaheim CA,18-04-2016
135325,34,3,4,42101,1,40.854583,-73.967772,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1999,Parts per million,No Events,8712,99,Y,363,365,0,0,0.0,0.0,Certified,0,1.40551,0.561111,4.0,29-10-1999 23:00,3.9,29-10-1999 22:00,3.9,30-10-1999 00:00,3.8,04-02-1999 20:00,4.0,29-10-1999 23:00,3.8,04-02-1999 20:00,2.9,2.7,2.4,2.1,1.8,1.4,0.7,FORT LEE,Bridge Plaza North and Lemoine Avenue,New Jersey,Bergen,Fort Lee,New York-Newark-Jersey City NY-NJ-PA,19-04-2016
136364,39,153,22,42101,1,41.080266,-81.516228,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1996,Parts per million,No Events,8732,99,Y,363,366,0,0,0.0,0.0,Certified,0,0.98383,0.466264,3.5,12-03-1996 09:00,3.4,12-03-1996 10:00,3.3,12-03-1996 08:00,3.3,12-03-1996 11:00,3.5,12-03-1996 09:00,3.3,13-03-1996 08:00,2.5,2.2,1.9,1.6,1.2,0.9,0.5,WORKSHOP (MORLEY HEALTH BLDG.),177 S. BROADWAY,Ohio,Summit,Akron,Akron OH,22-04-2016
142956,8,59,2,42101,1,39.800333,-105.099973,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1990,Parts per million,No Events,8696,99,Y,360,365,0,0,0.0,0.0,Certified,0,1.091329,0.869122,5.3,10-03-1990 00:00,5.2,10-03-1990 01:00,5.2,18-10-1990 22:00,5.1,02-01-1990 10:00,5.3,10-03-1990 00:00,5.2,18-10-1990 22:00,4.2,3.7,3.0,2.4,1.4,0.8,0.4,ARVADA,9101 W. 57TH AVE.,Colorado,Jefferson,Arvada,Denver-Aurora-Lakewood CO,30-04-2016
149427,17,143,36,42101,1,40.700072,-89.613414,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2001,Parts per million,No Events,8496,97,Y,353,365,0,0,0.0,0.0,Certified,0,1.001059,0.573835,4.7,18-11-2001 00:00,4.5,17-11-2001 23:00,4.3,18-11-2001 01:00,4.1,17-11-2001 22:00,4.7,18-11-2001 00:00,3.5,15-08-2001 19:00,2.6,2.4,2.1,1.8,1.3,0.9,0.3,COMMERCIAL BUILDING,1005 N. UNIVERSITY,Illinois,Peoria,Peoria,Peoria IL,14-04-2016
153732,48,439,1002,42101,1,32.805818,-97.356568,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2010,Parts per million,No Events,8516,97,Y,350,365,0,0,0.0,0.0,Certified,0,0.229732,0.137903,1.3,30-07-2010 07:00,1.2,30-07-2010 08:00,1.1,30-07-2010 09:00,1.0,13-01-2010 01:00,1.3,30-07-2010 07:00,1.0,13-01-2010 01:00,0.7,0.6,0.5,0.4,0.3,0.2,0.1,Fort Worth Northwest,3317 Ross Ave,Texas,Tarrant,Fort Worth,Dallas-Fort Worth-Arlington TX,10-04-2016
154490,55,101,17,42101,1,42.713897,-87.798634,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1989,Parts per million,No Events,8521,97,Y,354,365,0,0,0.0,0.0,Certified,0,1.518953,0.97927,6.6,23-01-1989 21:00,6.6,23-01-1989 22:00,6.6,23-01-1989 23:00,6.4,23-10-1989 18:00,6.6,23-01-1989 21:00,6.4,23-10-1989 18:00,4.9,4.4,3.6,2.9,1.9,1.3,0.5,RACINE,1519 WASHINGTON AVE,Wisconsin,Racine,Racine,Racine WI,30-04-2016
157564,4,19,1024,42101,1,32.295909,-110.823422,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1991,Parts per million,No Events,7291,83,Y,299,365,0,0,0.0,0.0,Certification not required,0,0.778508,0.397234,3.1,11-01-1991 11:00,3.0,09-01-1991 09:00,3.0,11-01-1991 09:00,2.9,09-01-1991 08:00,3.1,11-01-1991 11:00,3.0,09-01-1991 09:00,2.1,1.8,1.5,1.3,1.0,0.7,0.4,Sabino Canyon,4829 N SABINO CANYON RD TUCSON,Arizona,Pima,Tucson,Tucson AZ,28-04-2016
162483,4,19,1014,42101,1,32.20739,-110.910619,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1989,Parts per million,No Events,8653,99,Y,360,365,0,0,0.0,0.0,Certification not required,0,2.14172,1.181344,7.9,29-09-1989 19:00,7.7,29-09-1989 20:00,7.5,29-09-1989 18:00,7.4,29-09-1989 21:00,7.9,29-09-1989 19:00,7.1,08-12-1989 20:00,5.5,5.1,4.4,3.8,2.8,1.9,0.8,22ND & ALVERNON,22ND & ALVERNON TUCSON,Arizona,Pima,Tucson,Tucson AZ,04-05-2016
165742,6,71,1004,42101,1,34.10374,-117.62914,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2013,Parts per million,No Events,8268,94,Y,339,365,0,0,0.0,0.0,Certification not required,0,0.379463,0.14454,1.4,27-10-2013 00:00,1.3,27-10-2013 01:00,1.3,27-10-2013 02:00,1.3,27-10-2013 03:00,1.4,27-10-2013 00:00,1.2,12-11-2013 19:00,0.8,0.7,0.6,0.6,0.5,0.4,0.2,Upland,1350 SAN BERNARDINO RD. UPLAND,California,San Bernardino,Upland,Riverside-San Bernardino-Ontario CA,27-04-2016
184507,4,19,1011,42101,1,32.204411,-110.878067,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1993,Parts per million,No Events,8436,96,Y,349,365,0,0,0.0,0.0,Certification not required,0,0.742805,0.385141,5.1,08-12-1993 21:00,5.1,08-12-1993 22:00,4.9,08-12-1993 23:00,4.7,09-12-1993 00:00,5.1,08-12-1993 21:00,3.1,04-12-1993 22:00,1.9,1.7,1.4,1.2,0.9,0.7,0.3,22ND & CRAYCROFT,1237 S. BEVERLY  TUCSON,Arizona,Pima,Tucson,Tucson AZ,21-04-2016
