,state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,metric_used,method_name,year,units_of_measure,event_type,observation_count,observation_percent,completeness_indicator,valid_day_count,required_day_count,exceptional_data_count,null_data_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,num_obs_below_mdl,arithmetic_mean,arithmetic_standard_dev,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_non_overlapping_value,first_no_max_datetime,second_max_non_overlapping_value,second_no_max_datetime,ninety_nine_percentile,ninety_eight_percentile,ninety_five_percentile,ninety_percentile,seventy_five_percentile,fifty_percentile,ten_percentile,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
192711,9,5,4,42101,1,41.64486,-73.07908,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2007,Parts per million,No Events,8544,98,Y,351,365,0,0,0.0,0.0,Certified,0,0.271524,0.115265,0.8,04-01-2007 11:00,0.8,04-01-2007 12:00,0.8,13-01-2007 11:00,0.8,13-01-2007 12:00,0.8,04-01-2007 11:00,0.8,13-01-2007 11:00,0.6,0.6,0.5,0.4,0.3,0.2,0.2,THOMASTON WPCF,ACROSS FROM 258 OLD WATERBURY ROAD,Connecticut,Litchfield,Thomaston,Torrington CT,12-04-2016
196048,4,19,1021,42101,1,32.0475,-110.773889,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2001,Parts per million,No Events,5448,62,Y,227,365,0,0,0.0,0.0,Requested but denied,0,0.52254,0.464995,2.8,16-11-2001 01:00,2.7,16-11-2001 00:00,2.7,16-11-2001 02:00,2.6,21-01-2001 02:00,2.8,16-11-2001 01:00,2.6,21-01-2001 02:00,1.9,1.7,1.4,1.2,0.8,0.4,0.0,CHERRY & GLENN,2745 N CHERRY TUCSON,Arizona,Pima,Tucson,Tucson AZ,14-04-2016
201874,39,35,51,42101,1,41.504661,-81.690186,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2003,Parts per million,No Events,8414,96,Y,346,365,0,0,0.0,0.0,Certified,0,0.350725,0.334464,3.1,09-07-2003 18:00,2.9,09-07-2003 17:00,2.9,09-07-2003 19:00,2.7,08-09-2003 05:00,3.1,09-07-2003 18:00,2.7,08-09-2003 05:00,1.5,1.3,1.0,0.8,0.5,0.3,0.0,GALLERIA,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,Cleveland-Elyria OH,20-04-2016
202677,41,51,80,42101,1,45.496641,-122.602877,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2008,Parts per million,No Events,8144,93,Y,336,366,0,0,0.0,0.0,Certification not required,0,0.350675,0.290311,3.1,06-12-2008 02:00,3.1,06-12-2008 03:00,3.0,06-12-2008 01:00,3.0,06-12-2008 04:00,3.1,06-12-2008 02:00,2.5,06-12-2008 08:00,1.6,1.3,0.9,0.6,0.4,0.3,0.1,Portland - SE Lafayette,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,Portland-Vancouver-Hillsboro OR-WA,11-04-2016
203190,4,13,19,42101,1,33.48385,-112.14257,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1996,Parts per million,No Events,8093,92,Y,335,366,0,0,0.0,0.0,Certification not required,0,1.609181,1.51397,8.5,14-01-1996 03:00,8.3,14-01-1996 02:00,8.3,14-01-1996 04:00,8.2,10-01-1996 01:00,8.5,14-01-1996 03:00,8.2,10-01-1996 01:00,6.5,5.9,5.0,3.9,2.2,1.0,0.4,WEST PHOENIX,3847 W EARLL DR-WEST PHOENIX STATION,Arizona,Maricopa,Phoenix,Phoenix-Mesa-Scottsdale AZ,22-04-2016
205367,39,35,51,42101,1,41.504661,-81.690186,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2009,Parts per million,No Events,8416,96,Y,344,365,0,0,0.0,0.0,Certification not required,0,0.326283,0.494183,7.1,03-06-2009 20:00,6.8,03-06-2009 21:00,6.6,23-04-2009 20:00,6.6,23-04-2009 21:00,7.1,03-06-2009 20:00,6.6,23-04-2009 20:00,2.2,1.5,0.9,0.7,0.4,0.2,0.0,GALLERIA,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,Cleveland-Elyria OH,11-04-2016
208320,12,103,2008,42101,1,27.892801,-82.680378,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1996,Parts per million,No Events,8419,96,Y,342,366,0,0,0.0,0.0,Certified,0,0.865079,0.506033,2.7,10-12-1996 22:00,2.7,10-12-1996 23:00,2.7,12-12-1996 01:00,2.6,31-10-1996 12:00,2.7,10-12-1996 22:00,2.7,12-12-1996 01:00,2.2,2.0,1.8,1.6,1.2,0.8,0.3,Gateway,13280 34TH STREET N. CLEARWATER (ULMERTON RD),Florida,Pinellas,Clearwater,Tampa-St. Petersburg-Clearwater FL,25-04-2016
209356,27,123,50,42101,1,44.9558,-93.14585,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2012,Parts per million,No Events,8766,100,Y,365,366,0,0,0.0,0.0,Certified,0,0.119792,0.195924,2.3,11-01-2012 02:00,2.2,11-01-2012 01:00,2.1,11-01-2012 00:00,2.1,11-01-2012 03:00,2.3,11-01-2012 02:00,1.5,04-01-2012 22:00,0.9,0.7,0.5,0.3,0.2,0.0,0.0,Lexington Ave.,1088 WEST UNIVERSITY AVE.,Minnesota,Ramsey,St. Paul,Minneapolis-St. Paul-Bloomington MN-WI,09-04-2016
211288,41,51,80,42101,1,45.496641,-122.602877,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1994,Parts per million,No Events,4281,49,Y,176,365,0,0,0.0,0.0,Certified,0,0.741089,0.709815,6.1,03-11-1994 01:00,6.0,03-11-1994 02:00,5.7,17-01-1994 01:00,5.7,17-01-1994 02:00,6.1,03-11-1994 01:00,5.7,17-01-1994 01:00,3.5,2.9,2.2,1.7,0.9,0.5,0.2,Portland - SE Lafayette,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,Portland-Vancouver-Hillsboro OR-WA,29-04-2016
212994,39,49,5,42101,1,40.060124,-82.976857,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2007,Parts per million,No Events,8627,98,Y,358,365,0,0,0.0,0.0,Certification not required,0,0.346494,0.165252,1.6,29-10-2007 02:00,1.6,26-12-2007 01:00,1.6,26-12-2007 02:00,1.5,22-04-2007 03:00,1.6,29-10-2007 02:00,1.6,26-12-2007 01:00,1.0,0.8,0.6,0.5,0.4,0.3,0.2,MORSE_RD,1585 MORSE RD.,Ohio,Franklin,Columbus,Columbus OH,12-04-2016
222659,35,1,23,42101,1,35.1343,-106.5852,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2011,Parts per million,No Events,8488,97,Y,352,365,0,0,0.0,0.0,Certified,0,0.208141,0.151357,1.3,11-12-2011 02:00,1.3,11-12-2011 03:00,1.3,11-12-2011 04:00,1.3,11-12-2011 05:00,1.3,11-12-2011 02:00,1.3,18-12-2011 04:00,0.8,0.7,0.5,0.4,0.2,0.2,0.1,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,Albuquerque NM,09-04-2016
230495,29,95,37,42101,1,39.037778,-94.5875,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2003,Parts per million,No Events,2151,25,Y,90,365,0,0,0.0,0.0,Certification not required,0,0.475965,0.261665,2.0,13-02-2003 01:00,2.0,13-02-2003 02:00,2.0,13-02-2003 03:00,1.8,13-02-2003 00:00,2.0,13-02-2003 01:00,1.8,13-02-2003 08:00,1.3,1.1,0.9,0.8,0.6,0.5,0.2,PLAZA CO MONITORING SITE FORMERLY BENDIX.,4928 MAIN STREET,Missouri,Jackson,Kansas City,Kansas City MO-KS,20-04-2016
237381,6,71,1,42101,1,34.895007,-117.024484,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1996,Parts per million,No Events,8430,96,Y,347,366,0,0,0.0,0.0,Certification not required,0,0.362681,0.320172,2.3,30-01-1996 09:00,2.3,30-01-1996 10:00,2.3,30-01-1996 11:00,2.3,30-01-1996 12:00,2.3,30-01-1996 09:00,2.1,21-01-1996 00:00,1.5,1.3,1.0,0.8,0.5,0.3,0.1,Barstow,200 E. BUENA VISTA BARSTOW,California,San Bernardino,Barstow,Riverside-San Bernardino-Ontario CA,25-04-2016
240334,36,5,83,42101,1,40.86585,-73.88083,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1995,Parts per million,No Events,8321,95,Y,346,365,0,0,0.0,0.0,Certification not required,0,0.728362,0.404742,3.7,19-02-1995 05:00,3.6,19-02-1995 04:00,3.6,19-02-1995 06:00,3.6,16-12-1995 00:00,3.7,19-02-1995 05:00,3.6,16-12-1995 00:00,2.3,2.0,1.5,1.2,0.8,0.6,0.4,BOTANICAL GARDEN,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,New York-Newark-Jersey City NY-NJ-PA,23-04-2016
243605,12,86,31,42101,1,25.622049,-80.344255,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2010,Parts per million,No Events,8486,97,Y,352,365,0,0,0.0,0.0,Certification not required,0,0.384327,0.285488,1.1,23-04-2010 06:00,1.1,23-04-2010 07:00,1.1,23-04-2010 08:00,1.1,23-04-2010 09:00,1.1,23-04-2010 06:00,1.0,01-01-2010 05:00,1.0,0.9,0.9,0.8,0.6,0.4,0.0,Coral Reef,16000 SOUTH DIXIE HIGHWAY,Florida,Miami-Dade,Miami,Miami-Fort Lauderdale-West Palm Beach FL,10-04-2016
245421,18,89,15,42101,1,41.628647,-87.46143,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1990,Parts per million,No Events,7486,85,Y,307,365,0,0,0.0,0.0,Certified,0,0.853647,0.514749,4.4,12-10-1990 08:00,4.3,12-10-1990 07:00,4.3,12-10-1990 09:00,4.3,12-10-1990 10:00,4.4,12-10-1990 08:00,3.8,21-04-1990 16:00,2.7,2.3,1.8,1.5,1.1,0.7,0.3,East Chicago- Post Office,901 EAST CHICAGO AVE/ EAST CHICAGO POST OFFICE,Indiana,Lake,East Chicago,Chicago-Naperville-Elgin IL-IN-WI,28-04-2016
250991,4,13,19,42101,1,33.48385,-112.14257,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2004,Parts per million,No Events,8488,97,Y,351,366,0,0,0.0,0.0,Certified,0,0.78009,0.789682,5.2,12-12-2004 02:00,5.2,12-12-2004 03:00,5.1,11-12-2004 02:00,5.0,11-12-2004 03:00,5.2,12-12-2004 02:00,5.1,11-12-2004 02:00,3.4,3.0,2.5,2.0,1.1,0.5,0.1,WEST PHOENIX,3847 W EARLL DR-WEST PHOENIX STATION,Arizona,Maricopa,Phoenix,Phoenix-Mesa-Scottsdale AZ,13-04-2016
260716,26,163,26,42101,1,42.359175,-83.255146,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2001,Parts per million,No Events,8693,99,Y,361,365,0,0,0.0,0.0,Certified,0,0.314126,0.263317,3.8,12-12-2001 07:00,3.8,12-12-2001 08:00,3.7,12-12-2001 06:00,3.7,12-12-2001 09:00,3.8,12-12-2001 07:00,2.9,12-12-2001 11:00,1.2,1.0,0.8,0.6,0.4,0.3,0.1,NORTH OF JOY RD./WEST OF SPINOZA/NEAR DETROIT POLICE HORSE STABLES,22000 JOY ROAD,Michigan,Wayne,Detroit,Detroit-Warren-Dearborn MI,14-04-2016
271591,34,7,1001,42101,1,39.68425,-74.861491,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1999,Parts per million,No Events,8732,100,Y,365,365,0,0,0.0,0.0,Certified,0,0.301145,0.124056,1.4,14-12-1999 03:00,1.3,14-12-1999 02:00,1.3,14-12-1999 04:00,1.2,14-12-1999 01:00,1.4,14-12-1999 03:00,1.0,13-12-1999 03:00,0.8,0.6,0.5,0.4,0.4,0.3,0.2,Ancora State Hospital,Ancora State Hospital 202 Spring Garden Road,New Jersey,Camden,Winslow (Township of),Philadelphia-Camden-Wilmington PA-NJ-DE-MD,19-04-2016
274338,50,7,7,42101,1,44.52839,-72.86884,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2014,Parts per million,No Events,5320,61,Y,216,365,0,0,0.0,0.0,Requested but denied,0,0.126109,0.072299,0.6,10-04-2014 08:00,0.6,10-04-2014 09:00,0.6,10-04-2014 10:00,0.5,10-04-2014 05:00,0.6,10-04-2014 08:00,0.4,10-01-2014 16:00,0.3,0.3,0.2,0.2,0.2,0.1,0.0,PROCTOR MAPLE RESEARCH CTR,58 HARVEY ROAD Underhill Vermont,Vermont,Chittenden,Underhill (Town of),Burlington-South Burlington VT,08-04-2016
275834,6,67,6,42101,1,38.613779,-121.368014,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2011,Parts per million,No Events,8554,98,Y,354,365,0,0,0.0,0.0,Certification not required,0,0.298843,0.273178,2.3,24-12-2011 04:00,2.2,24-12-2011 02:00,2.2,24-12-2011 03:00,2.2,24-12-2011 05:00,2.3,24-12-2011 04:00,2.2,26-12-2011 03:00,1.5,1.2,0.8,0.6,0.3,0.2,0.1,Sacramento-Del Paso Manor,DEL PASO-2701 AVALON DR SACRAMENTO,California,Sacramento,Arden-Arcade,Sacramento--Roseville--Arden-Arcade CA,10-04-2016
277132,20,209,21,42101,1,39.117219,-94.635605,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2003,Parts per million,No Events,7054,81,Y,292,365,0,0,0.0,0.0,Certified,0,0.548115,0.475179,3.0,13-02-2003 01:00,3.0,13-02-2003 02:00,3.0,13-02-2003 03:00,3.0,13-02-2003 06:00,3.0,13-02-2003 01:00,3.0,23-03-2003 02:00,2.0,1.6,1.3,1.1,0.9,0.5,0.0,JFK,1210 N. 10TH ST.JFK RECREATION CENTER,Kansas,Wyandotte,Kansas City,Kansas City MO-KS,20-04-2016
278801,29,95,37,42101,1,39.037778,-94.5875,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2001,Parts per million,No Events,8571,98,Y,355,365,0,0,0.0,0.0,Certified,0,0.521199,0.445546,3.9,31-12-2001 16:00,3.9,31-12-2001 17:00,3.8,31-12-2001 14:00,3.8,31-12-2001 15:00,3.9,31-12-2001 16:00,3.6,13-02-2001 21:00,2.0,1.7,1.4,1.1,0.7,0.4,0.1,PLAZA CO MONITORING SITE FORMERLY BENDIX.,4928 MAIN STREET,Missouri,Jackson,Kansas City,Kansas City MO-KS,14-04-2016
288562,6,1,2004,42101,1,37.877794,-122.30129,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2010,Parts per million,No Events,8587,98,Y,350,365,0,0,0.0,0.0,Certification not required,0,0.316886,0.180641,1.5,10-01-2010 00:00,1.5,10-01-2010 01:00,1.5,10-01-2010 02:00,1.4,05-01-2010 00:00,1.5,10-01-2010 00:00,1.4,05-01-2010 00:00,1.0,0.9,0.7,0.6,0.4,0.3,0.2,Berkeley,1340 Sixth Street,California,Alameda,Berkeley,San Francisco-Oakland-Hayward CA,10-04-2016
290075,39,151,20,42101,1,40.800729,-81.373008,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1998,Parts per million,No Events,8649,99,Y,358,365,0,0,0.0,0.0,Certified,0,0.705469,0.315234,4.3,28-02-1998 03:00,4.3,28-02-1998 04:00,4.1,28-02-1998 05:00,4.0,28-02-1998 06:00,4.3,28-02-1998 03:00,3.5,14-05-1998 03:00,1.8,1.4,1.2,1.0,0.8,0.7,0.4,CANTON 2 SEARS BLDG.,420 MARKET,Ohio,Stark,Canton,Canton-Massillon OH,15-04-2016
292227,40,115,9004,42101,1,36.922222,-94.838889,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2001,Parts per million,No Events,8105,93,Y,336,365,0,0,0.0,0.0,Certified,0,0.039149,0.05256,0.3,19-05-2001 03:00,0.3,19-05-2001 04:00,0.3,30-12-2001 00:00,0.3,30-12-2001 01:00,0.3,19-05-2001 03:00,0.3,30-12-2001 00:00,0.2,0.1,0.1,0.1,0.1,0.0,0.0,QUAPAW SHELTER,QUAPAW TRIBE'S INDUSTRIAL PARK MIAMI,Oklahoma,Ottawa,Miami,Miami OK,14-04-2016
301717,27,3,600,42101,1,45.07694,-93.2541,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1997,Parts per million,No Events,7989,91,Y,330,365,0,0,0.0,0.0,Certified,0,0.624747,0.244319,2.6,29-11-1997 02:00,2.5,29-11-1997 01:00,2.5,29-11-1997 03:00,2.5,29-11-1997 04:00,2.6,29-11-1997 02:00,2.4,29-11-1997 08:00,1.4,1.3,1.1,0.9,0.7,0.6,0.4,Fridley High School,6000 W. Moore Lake Rd.,Minnesota,Anoka,Fridley,Minneapolis-St. Paul-Bloomington MN-WI,22-04-2016
304024,4,19,1031,42101,1,32.1912,-110.840582,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2015,Parts per million,No Events,4346,50,Y,181,365,0,0,0.0,0.0,Requested but not yet concurred,0,0.309641,0.175158,1.0,02-01-2015 22:00,1.0,02-01-2015 23:00,1.0,03-01-2015 00:00,1.0,03-01-2015 01:00,1.0,02-01-2015 22:00,0.9,03-01-2015 23:00,0.7,0.7,0.6,0.5,0.4,0.3,0.1,GOLF LINKS,2601 SOUTH KOLB ROAD,Arizona,Pima,Tucson,Tucson AZ,17-05-2016
307490,16,1,14,42101,1,43.616379,-116.203817,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1997,Parts per million,No Events,8011,91,Y,332,365,0,0,0.0,0.0,Certified,0,1.521533,0.847403,8.0,28-10-1997 20:00,7.8,28-10-1997 21:00,7.7,28-10-1997 19:00,7.6,28-10-1997 22:00,8.0,28-10-1997 20:00,6.2,31-01-1997 18:00,4.2,3.6,3.1,2.7,2.0,1.3,0.6,LOCATED IN BROADBENT BUILDING,EASTMAN BLDG/166 N. 9TH ST,Idaho,Ada,Boise (corporate name Boise City),Boise City ID,21-04-2016
308390,6,111,2002,42101,1,34.276362,-118.683757,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1998,Parts per million,No Events,8485,97,Y,349,365,0,0,0.0,0.0,Certified,0,0.653353,0.438072,3.5,26-01-1998 09:00,3.4,26-01-1998 08:00,3.2,26-01-1998 11:00,3.2,26-01-1998 12:00,3.5,26-01-1998 09:00,2.9,27-01-1998 08:00,2.2,1.9,1.5,1.3,0.8,0.5,0.2,Simi Valley-Cochran Street,5400 COCHRAN STREET SIMI VALLEY CA  93063,California,Ventura,Simi Valley,Oxnard-Thousand Oaks-Ventura CA,15-04-2016
308525,17,31,63,42101,1,41.877682,-87.635027,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2007,Parts per million,No Events,8530,97,Y,354,365,0,0,0.0,0.0,Certification not required,0,0.449812,0.176635,1.5,20-02-2007 13:00,1.5,20-02-2007 14:00,1.5,20-02-2007 15:00,1.4,20-02-2007 12:00,1.5,20-02-2007 13:00,1.4,10-12-2007 15:00,1.0,0.9,0.8,0.7,0.5,0.4,0.2,CTA BUILDING,321 S. FRANKLIN,Illinois,Cook,Chicago,Chicago-Naperville-Elgin IL-IN-WI,12-04-2016
318854,4,19,1031,42101,1,32.1912,-110.840582,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2006,Parts per million,No Events,5074,58,Y,212,365,0,0,0.0,0.0,Certification not required,0,0.520733,0.309581,1.8,12-01-2006 21:00,1.8,12-01-2006 22:00,1.7,12-01-2006 20:00,1.7,12-01-2006 23:00,1.8,12-01-2006 21:00,1.6,04-01-2006 20:00,1.4,1.2,1.1,0.9,0.7,0.5,0.1,GOLF LINKS,2601 SOUTH KOLB ROAD,Arizona,Pima,Tucson,Tucson AZ,12-04-2016
343383,25,13,16,42101,1,42.108992,-72.590803,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2002,Parts per million,No Events,8676,99,Y,361,365,0,0,0.0,0.0,Certified,0,0.705844,0.391455,4.2,19-12-2002 00:00,4.1,19-12-2002 01:00,3.9,18-12-2002 23:00,3.8,19-12-2002 02:00,4.2,19-12-2002 00:00,3.3,29-01-2002 04:00,2.3,1.9,1.3,1.1,0.8,0.7,0.3,LIBERTY ST PARKING LOT,LIBERTY STREET,Massachusetts,Hampden,Springfield,Springfield MA,21-04-2016
345154,4,13,4005,42101,1,33.4124,-111.93473,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2004,Parts per million,No Events,4930,56,Y,205,366,0,0,0.0,0.0,Certified,0,0.419777,0.345977,1.9,18-02-2004 00:00,1.9,18-02-2004 01:00,1.8,17-02-2004 23:00,1.7,17-02-2004 22:00,1.9,18-02-2004 00:00,1.7,25-12-2004 02:00,1.5,1.3,1.1,0.9,0.6,0.3,0.0,TEMPE,1525 S COLLEGE AVE TEMPE,Arizona,Maricopa,Tempe,Phoenix-Mesa-Scottsdale AZ,13-04-2016
354101,30,13,1025,42101,1,47.496347,-111.294975,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1991,Parts per million,No Events,8412,96,Y,349,365,0,0,4.0,4.0,Certified,0,1.22412,0.92347,10.4,28-12-1991 22:00,10.1,28-12-1991 23:00,9.8,28-12-1991 21:00,9.5,29-12-1991 00:00,10.4,28-12-1991 22:00,6.6,28-12-1991 18:00,4.4,3.6,2.9,2.3,1.7,1.0,0.2,MID-BLOCK ON SOUTH SIDE OF 10TH AVE S; BETWEEN 7TH & 8TH STREETS,SKYWAY CONOCO 700-10TH AVE SOUTH,Montana,Cascade,Great Falls,Great Falls MT,28-04-2016
356808,11,1,41,42101,1,38.895572,-76.958072,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2006,Parts per million,No Events,8739,100,Y,363,365,0,0,0.0,0.0,Certified,0,1.118389,0.466573,3.4,28-11-2006 09:00,3.3,28-11-2006 08:00,3.3,28-11-2006 10:00,3.3,12-12-2006 02:00,3.4,28-11-2006 09:00,3.3,12-12-2006 02:00,2.6,2.4,1.9,1.7,1.4,1.1,0.6,RIVER TERRACE,420 34th Street N.E.Washington DC 20019,District Of Columbia,District of Columbia,Washington,Washington-Arlington-Alexandria DC-VA-MD-WV,12-04-2016
358612,44,7,1010,42101,1,41.841039,-71.36097,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2000,Parts per million,No Events,7874,90,Y,294,366,0,0,0.0,0.0,Certified,0,0.521044,0.28508,2.6,05-12-2000 09:00,2.5,05-12-2000 08:00,2.5,05-12-2000 10:00,2.4,30-01-2000 06:00,2.6,05-12-2000 09:00,2.4,30-01-2000 06:00,1.7,1.4,1.0,0.8,0.6,0.5,0.3,FRANCIS SCHOOL East Providence,FRANCIS SCHOOL 64 BOURNE AVE,Rhode Island,Providence,East Providence,Providence-Warwick RI-MA,18-04-2016
362570,4,19,1014,42101,1,32.20739,-110.910619,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1991,Parts per million,No Events,8398,96,Y,344,365,0,0,0.0,0.0,Certified,0,1.9181,0.990841,6.4,27-11-1991 23:00,6.4,28-11-1991 00:00,6.1,27-11-1991 22:00,5.7,28-11-1991 01:00,6.4,27-11-1991 23:00,5.7,17-12-1991 18:00,4.6,4.3,3.8,3.3,2.5,1.8,0.8,22ND & ALVERNON,22ND & ALVERNON TUCSON,Arizona,Pima,Tucson,Tucson AZ,28-04-2016
365778,47,157,21,42101,1,35.217501,-90.019707,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1998,Parts per million,No Events,8705,99,Y,363,365,0,0,0.0,0.0,Certified,0,0.499793,0.549358,4.9,14-02-1998 04:00,4.9,14-02-1998 05:00,4.8,14-02-1998 03:00,4.5,14-02-1998 02:00,4.9,14-02-1998 04:00,4.1,19-02-1998 08:00,2.8,2.3,1.6,1.1,0.6,0.3,0.1,Frayser Ozone Monitor,1330 FRAYSER BLVD,Tennessee,Shelby,Memphis,Memphis TN-MS-AR,15-04-2016
366749,11,1,23,42101,1,38.903889,-77.046389,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1990,Parts per million,No Events,7462,85,Y,301,365,0,0,0.0,0.0,Certified,0,1.540847,0.887629,7.5,16-01-1990 01:00,7.5,16-01-1990 02:00,7.2,02-11-1990 01:00,7.1,16-01-1990 00:00,7.5,16-01-1990 01:00,7.2,02-11-1990 01:00,4.5,3.8,3.1,2.6,2.0,1.4,0.6,Verizon,VERIZON PHONE CO.2055 L ST.  N.W.,District Of Columbia,District of Columbia,Washington,Washington-Arlington-Alexandria DC-VA-MD-WV,30-04-2016
